,ID,random_seed,number_layers,number_units,LAA,number_res,number_ub,weight_values_ic,weight_values_ub,weight_values_lb,ALR,iterations,batch_size,RAR,new_residual_points,time_Adam,time_BFGS,theta_L2_relative_error,theta_abs_relative_error,theta_max_error,psi_L2_relative_error,psi_abs_relative_error,psi_max_error,loss_ub,loss_lb,loss_ic,loss_res,number_weight_parameters
47,8,7,1,30,True,10000,1000,10,10,10,False,100000,128,False,10,705.7392983939999,0.7665871030003473,0.03793548670858617,0.020567989706047063,0.05450417966806348,0.3903512649563964,0.21857752235177608,2.138197122478151,1.1496065000000001e-05,4.1446538e-06,3.4396526e-05,0.0006510466000000001,90
48,9,8,1,30,True,10000,1000,10,10,10,False,100000,128,False,10,714.1684877080006,87.14041617700059,0.011144143608482858,0.008601084526306323,0.015853323517517393,0.0369749463529045,0.04075303249112206,0.25705443047372745,7.7443593e-07,7.5340324e-07,2.1955350000000003e-06,0.00011862288000000001,90
49,10,9,1,30,True,10000,1000,10,10,10,False,100000,128,False,10,721.7947927340001,0.736878734000129,0.04200011045595268,0.032717827042595134,0.05061138974966817,0.32686751981686174,0.23402268955212685,1.683692302871091,1.1759863e-05,3.2961711e-06,3.48825e-05,0.0006517805,90
50,11,0,1,30,False,10000,1000,10,10,10,False,100000,128,False,10,615.2206017139997,0.6202293520000239,0.04234025228545279,0.02931474888062672,0.07542372468501501,0.28023053295007455,0.20075686821241998,1.3113686863813883,5.2749332e-05,1.8655729e-06,0.00017551713,0.0007274317999999999,90
51,12,1,1,30,False,10000,1000,10,10,10,False,100000,128,False,10,615.6953649590014,0.7034988920004253,0.04486172005337203,0.02955893716058405,0.08114232841521674,0.3645766077570057,0.2478614080686292,1.3566747433492001,5.3613858e-05,1.0308923e-05,0.00021946157000000003,0.0006908044000000001,90
52,13,2,1,30,False,10000,1000,10,10,10,False,100000,128,False,10,622.3375408860011,40.626593630999196,0.024324089296973852,0.020649729876069913,0.035279594097437195,0.06440514425914268,0.08630011985964804,0.7115820469745819,2.058304e-06,1.2689158e-06,1.893271e-05,0.00024552966,90
53,14,3,1,30,False,10000,1000,10,10,10,False,100000,128,False,10,628.0313844690008,37.96463941699949,0.011151213587846738,0.009124790709081005,0.02999996367484503,0.05356715852184771,0.047620057063841925,0.6323305191883271,9.844699e-07,8.628856999999999e-07,1.4173015e-05,0.00019404555,90
54,15,4,1,30,False,10000,1000,10,10,10,False,100000,128,False,10,625.557320287,19.593414605000362,0.030083603208714397,0.02287683851111442,0.04110368314773016,0.30182466024360155,0.19410167548820131,1.7109739290410468,1.4346197500000001e-05,2.0151022e-06,3.1021344e-05,0.00048470258,90
55,16,5,1,30,False,10000,1000,10,10,10,False,100000,128,False,10,628.8093025119997,0.6174587339992286,0.04286543728736134,0.033079066328896414,0.08269084218532019,0.28503216768501977,0.23122448457398706,1.2328780712970917,6.6100525e-05,1.3662139999999999e-05,0.00024059167000000002,0.0007964211,90
56,17,6,1,30,False,10000,1000,10,10,10,False,100000,128,False,10,630.8608681300011,0.659398023999529,0.034077186168393066,0.025007568925906866,0.0747216117718833,0.24120249944018,0.1771299931490964,1.1621492924579804,4.5499924e-05,2.7171224999999997e-06,0.00016598636000000002,0.0004579074,90
57,18,7,1,30,False,10000,1000,10,10,10,False,100000,128,False,10,631.2167779579995,0.6663849850010592,0.035389465204157,0.026660874975562604,0.07400845709830695,0.3468927426817177,0.22571312959679077,1.6215440736943671,5.0738869999999994e-05,4.397260999999999e-06,0.00017276462,0.00054842635,90
58,19,8,1,30,False,10000,1000,10,10,10,False,100000,128,False,10,629.6588398880012,0.6605168820005929,0.042616244678341665,0.02883537469887388,0.07367206338435583,0.36945386695179117,0.2423541761184459,1.7026500627331955,6.164111e-05,4.3942414000000005e-06,0.00017158904999999998,0.00059182383,90
59,20,9,1,30,False,10000,1000,10,10,10,False,100000,128,False,10,638.563352313,0.6715152879987727,0.039519308512497915,0.02622566321854184,0.08297909024745398,0.22167537181954292,0.17861352063536387,1.2353449883350556,6.476354e-05,2.5548568e-06,0.0002396484,0.0007915236,90
60,21,0,1,40,True,10000,1000,10,10,10,False,100000,128,False,10,753.2159171570001,65.69235113799914,0.007890942599769704,0.00577431749918967,0.015052735541166595,0.047026270041763664,0.03611166728689702,0.3664101185688202,5.5857487e-07,4.770457e-07,2.8653140000000003e-06,7.205961e-05,120
61,22,1,1,40,True,10000,1000,10,10,10,False,100000,128,False,10,752.2332352529993,1.2249586819998513,0.025031553200398165,0.02107113640768273,0.044430009756388,0.11060053531829715,0.11038143443986027,0.8356147827991669,9.453514e-06,1.9405503999999998e-06,3.4781554999999996e-05,0.00044422192,120
62,23,2,1,40,True,10000,1000,10,10,10,False,100000,128,False,10,766.5604021830022,0.7041092580002442,0.02596518935579984,0.0211195597453031,0.04239056232959204,0.20534497795829532,0.14715513648861356,1.2409980995630079,1.2529939e-05,1.5435463999999999e-06,3.2976663e-05,0.00042456805,120
63,24,3,1,40,True,10000,1000,10,10,10,False,100000,128,False,10,760.0565479770012,68.73145403300077,0.0050204647668957835,0.0033035014059184828,0.006011346862830141,0.032790211151510706,0.02315510279991042,0.1466024947117055,5.964532e-07,7.5644095e-07,3.2692466e-07,7.139002e-05,120
64,25,4,1,40,True,10000,1000,10,10,10,False,100000,128,False,10,768.6758944409994,91.60959022399766,0.007907414940703338,0.005044612093845983,0.01849734085627014,0.044597667765932436,0.032101236692628037,0.2933920445331757,1.3068328e-06,6.9357395e-07,1.5888967e-06,9.3214025e-05,120
65,26,5,1,40,True,10000,1000,10,10,10,False,100000,128,False,10,751.5273473390007,0.9728833379995194,0.038631531021661884,0.024474453587503033,0.0494206234218751,0.44328615566248347,0.25489093525027773,2.484354479828906,1.0542967e-05,8.8748055e-07,3.052922e-05,0.0006100241000000001,120
66,27,6,1,40,True,10000,1000,10,10,10,False,100000,128,False,10,759.2333418339986,0.7431508090012358,0.025851318246988227,0.01700340068323657,0.04311732176333838,0.31399420534344397,0.17915546498131726,1.8032882197282607,1.3570255e-05,2.8622496000000002e-06,3.288467e-05,0.00046827164,120
67,28,7,1,40,True,10000,1000,10,10,10,False,100000,128,False,10,765.9849320539979,0.8286496730033832,0.020000024991975476,0.015707335443200784,0.04574152055770331,0.1323149281443583,0.10004829202937048,0.8521956028827851,1.5041342999999999e-05,1.8722311000000002e-06,3.85069e-05,0.00040429496,120
68,29,8,1,40,True,10000,1000,10,10,10,False,100000,128,False,10,764.5724638719985,77.89312916999916,0.009199638698910271,0.0050324097781679344,0.035026711097638025,0.06966794756457115,0.043820371666663055,0.5110952166952272,1.1035150999999999e-07,6.8879274e-07,3.4323637000000004e-06,8.070721e-05,120
69,30,9,1,40,True,10000,1000,10,10,10,False,100000,128,False,10,772.0053022190004,50.90984497300087,0.00908796509452017,0.005959089203250381,0.015656672153772644,0.034251827788563734,0.032538152371968346,0.3786436142811005,1.859709e-06,8.2403074e-07,3.1253012e-06,0.00012066299999999999,120
70,31,0,1,40,False,10000,1000,10,10,10,False,100000,128,False,10,656.9463935130007,28.751206831999298,0.029706942261442673,0.024653546001434472,0.04783349457770758,0.22322634154737858,0.16415003276221415,1.3387944208318183,1.9253497e-05,1.6153218000000001e-06,4.692332000000001e-05,0.00039625095,120
71,32,1,1,40,False,10000,1000,10,10,10,False,100000,128,False,10,664.2512079579974,0.5832939370011445,0.04375595594162612,0.03238510071130775,0.07985464457065039,0.38735218737363136,0.26166435617303546,1.698065626412212,5.6977893e-05,9.1273605e-06,0.00022147756000000002,0.0007236699,120
72,33,2,1,40,False,10000,1000,10,10,10,False,100000,128,False,10,659.4918845680004,30.274736616000155,0.008966131391351276,0.006410781488849461,0.032807908687891296,0.08263378385172848,0.04764595337028568,0.6752604069599335,2.3405014e-06,1.3358945e-06,1.7539078e-05,0.0002250348,120
73,34,3,1,40,False,10000,1000,10,10,10,False,100000,128,False,10,661.4229618520003,27.835814433998166,0.044993051876581536,0.032096413599305235,0.05507716957398495,0.34900091265246624,0.2500611155509414,1.5538022807080314,1.2894669999999998e-05,1.6705716999999998e-06,4.6821480000000004e-05,0.0006392167,120
74,35,4,1,40,False,10000,1000,10,10,10,False,100000,128,False,10,684.4503359250011,0.6508804750010313,0.03520702626397703,0.026627839159572605,0.07487658384829932,0.26834323348093825,0.18402596591132278,1.4309329143376721,3.3349388e-05,2.2379295e-06,0.00016798020000000002,0.0005104771,120
75,36,5,1,40,False,10000,1000,10,10,10,False,100000,128,False,10,672.9112650239986,39.83607780099919,0.0221846957933062,0.01794927906843142,0.04879819575339728,0.12276847646213133,0.10872864599198752,0.889804941643161,4.564580000000001e-06,2.1025473e-06,4.4537603e-05,0.00036785888,120
76,37,6,1,40,False,10000,1000,10,10,10,False,100000,128,False,10,675.878719397002,49.96369865299857,0.02428784211394813,0.019569466542907386,0.046493880186380676,0.14599638225988856,0.11698844216732551,0.8615847649463837,8.253064e-06,9.552499e-07,4.01436e-05,0.00037051849999999997,120
77,38,7,1,40,False,10000,1000,10,10,10,False,100000,128,False,10,679.3517538630003,0.7074870700016618,0.041142275690399695,0.02606845793529878,0.07474338236838751,0.42208068227796247,0.25424855719659845,2.03813753816517,4.7731126000000006e-05,2.2624074e-06,0.00017405119999999998,0.0005852912,120
78,39,8,1,40,False,10000,1000,10,10,10,False,100000,128,False,10,682.3462689960033,49.59575197799859,0.013741551233898476,0.01097889592218888,0.033438317213358215,0.03974864343309574,0.047344189286118714,0.6846502842792694,5.986868000000001e-07,1.1100801000000002e-06,1.6070131e-05,0.00020473168,120
79,40,9,1,40,False,10000,1000,10,10,10,False,100000,128,False,10,680.2787212540024,0.6972763529993244,0.035052011030125084,0.023589756915946117,0.0760549527743476,0.25892196298131104,0.17659310263750894,1.2635198435594042,8.618495999999999e-05,4.8784286e-06,0.00018790474999999998,0.00041303129999999995,120
80,1,0,1,50,True,10000,1000,10,10,10,False,100000,128,False,10,778.7141343330001,74.21316555299995,0.007399168093778808,0.0041996065484987905,0.03288125681010903,0.04338574307327508,0.028334230400540273,0.3994711460956757,1.2767113e-07,5.856808e-07,3.1300622000000004e-06,5.7616944e-05,150
81,2,1,1,50,True,10000,1000,10,10,10,False,100000,128,False,10,798.9966477169999,97.95799110400003,0.00963277850554994,0.007125798959607894,0.02346368926592285,0.032110894081654545,0.03295072128762936,0.3790284218677704,2.6587359999999997e-07,2.8716838e-07,2.8855115e-06,6.271646999999999e-05,150
82,3,2,1,50,True,10000,1000,10,10,10,False,100000,128,False,10,799.3082253970001,133.61933528600002,0.011174574174713806,0.008273036286422291,0.023790105635047798,0.04535067010668175,0.041294326860709975,0.4352978291401093,2.2392187e-07,7.9942185e-07,3.98229e-06,6.257194e-05,150
83,4,3,1,50,True,10000,1000,10,10,10,False,100000,128,False,10,815.1572905100002,113.61951256500015,0.007559745843813405,0.004826317019572563,0.026901958212400767,0.03487753208650967,0.027414157526430005,0.3860925259479706,3.3406215000000003e-07,3.850498e-07,2.9602967999999997e-06,4.1937765e-05,150
84,5,4,1,50,True,10000,1000,10,10,10,False,100000,128,False,10,820.8631520979998,107.29218666199995,0.007851946533246598,0.00486754194871904,0.027778196238495756,0.039491553539603125,0.027758576994966432,0.4089339795002167,4.3907136e-08,2.6897592e-07,3.3198652999999997e-06,4.5097113e-05,150
85,6,5,1,50,True,10000,1000,10,10,10,False,100000,128,False,10,840.0582558560009,0.7705831510002099,0.04234697855097864,0.028258750695196583,0.05878414919164268,0.4006713396813955,0.2531431966012211,2.016818544978758,1.1747602999999999e-05,1.3716641999999999e-06,3.166843e-05,0.00062828074,150
86,7,6,1,50,True,10000,1000,10,10,10,False,100000,128,False,10,858.8483106989997,0.8635396599993328,0.03192701519349105,0.021306909982224422,0.04202848907772769,0.35517656676691683,0.21013425330001773,2.1719906575965218,1.1221099999999998e-05,1.2066134e-06,3.0147972e-05,0.000512835,150
87,8,7,1,50,True,10000,1000,10,10,10,False,100000,128,False,10,864.3166310060005,79.02591067399953,0.0067256398228998674,0.0041249505494042995,0.024897329984382932,0.03968686656635263,0.028710199362969424,0.4076632084736054,2.9515655e-07,5.5851507e-07,3.3365890000000003e-06,5.5509354e-05,150
88,9,8,1,50,True,10000,1000,10,10,10,False,100000,128,False,10,865.4393879750005,97.64201676899938,0.010016050595476398,0.006808062303897725,0.031026733741308543,0.04418892780274658,0.0370027841156178,0.3355006616908556,1.4890651e-07,1.9359027999999999e-07,1.1210078e-06,3.435761e-05,150
89,10,9,1,50,True,10000,1000,10,10,10,False,100000,128,False,10,880.6283231399993,0.9560046730002796,0.028021606045449562,0.02331238892789382,0.05171344402820044,0.17256304801376354,0.14782044735959468,0.9244028153309052,1.4478270000000003e-05,2.0603527e-06,5.1012650000000004e-05,0.00045124739999999997,150
90,11,0,1,50,False,10000,1000,10,10,10,False,100000,128,False,10,760.6809442220001,58.54843799400078,0.014701838452652072,0.011711781606253729,0.03991416815310889,0.05044414857515578,0.05493924177203474,0.7763234200367157,7.325128499999999e-06,1.8323299e-06,2.8996824999999998e-05,0.00020155761999999998,150
